AwayTeam,HomeTeam,AwayOffense,AwayDefense,AwayDiscapline,AwayTeamScore,AwayCenScore,AwayDefScore,AwayGScore,AwayWingScore,AwayPlayerScore,AwaySchedScore,AwayFloStrength,Awaylast3games,Awaylast5games,Awaylast7games,Awaylast10games,AwayPlayedYest,HomeOffense,HomeDefense,HomeDiscapline,HomeTeamScore,HomeCenScore,HomeDefScore,HomeGScore,HomeWingScore,HomePlayerScore,HomeSchedScore,HomeFloStrength,Homelast3games,Homelast5games,Homelast7games,Homelast10games,HomePlayedYest,gameID,ASpread,SpreadAwayOdd,HSpread,SpreadHomeOdd,OU,BookWin,BookSpread,predPD,FloWin,predOU,FloSpr,FloOU,SprWinnings,OUWinnings,AwayBookOdds,HomeBookOdds,WLWinnings,AScore,HScore,WTeam,TotGl,PD,MLCorr,ActSpr,ActOU,OUCorr,SprCorr,MLNet,SprNet,OUNet
CHI,NSH,-1.722,-1.25,0.871,0.28,0.086,-0.522,0.135,-0.551,0.347,0.348,0.272,0.442,0.49,0.401,0.386,0,-0.32,-0.237,0.769,0.471,0.382,-0.124,-0.271,-0.402,0.407,0.346,0.419,0.272,0.422,0.429,0.398,0,CHINSH20231118,1.5,-145,-1.5,120,6,NSH,1.5,-1.8699999999999992,NSH,5.444999999999999,-1.5,Under,1.2,0.91,110,-130,0.77,2,4,NSH,6,2,1,-1.5,Under,1,1,0.77,0.91,1.2
EDM,TBL,0.309,-0.46,-0.03,0.487,-0.058,-0.055,-0.895,0.506,0.395,0.353,0.417,0.702,0.359,0.257,0.308,0,0.153,-0.769,-1.337,0.424,0.206,0.064,-0.25,0.573,0.546,0.381,0.444,0.227,0.421,0.502,0.461,0,EDMTBL20231118,-1.5,180,1.5,-225,7,EDM,1.5,-0.6700000000000004,TBL,7.691,1.5,Over,0.44,0.91,-170,150,1.5,4,6,TBL,10,2,1,1.5,Over,1,1,1.5,0.91,0.44
MTL,BOS,-0.624,-1.088,0.489,0.373,-0.048,0.383,0.208,-0.446,0.477,0.365,0.382,0.341,0.456,0.415,0.439,0,0.337,1.253,-1.418,0.599,-0.007,0.053,1.425,1.046,0.811,0.731,0.724,0.635,0.692,0.653,0.738,0,MTLBOS20231118,1.5,-110,-1.5,-110,6,BOS,1.5,-3.82,BOS,5.548,-1.5,Under,0.91,0.91,-120,100,1,2,5,BOS,7,3,1,-1.5,Over,0,1,1,-1,0.91
NYR,NJD,-0.285,1.869,-1.58,0.595,-0.355,0.604,1.097,0.313,0.693,0.714,0.672,0.7,0.529,0.633,0.691,0,1.007,-0.571,-1.662,0.502,0.108,0.236,-0.494,0.296,0.484,0.488,0.498,0.472,0.559,0.514,0.521,0,NYRNJD20231118,1.5,-250,-1.5,195,6.5,NJD,1.5,1.3399999999999999,NYR,5.4239999999999995,1.5,Under,0.4,0.91,185,-205,1.85,5,3,NYR,8,2,1,1.5,Over,0,1,1.85,-1,0.4
PIT,CAR,1.203,0.557,-0.244,0.636,0.764,0.261,0.485,-0.068,0.663,0.551,0.652,0.575,0.463,0.527,0.483,0,0.711,0.949,-0.726,0.618,-0.106,0.146,-0.935,-0.042,0.335,0.431,0.498,0.48,0.391,0.306,0.405,0,PITCAR20231118,1.5,-165,-1.5,135,6.5,CAR,1.5,1.1399999999999997,PIT,6.408,1.5,Under,0.61,0.91,125,-145,1.25,2,4,CAR,6,2,0,-1.5,Under,1,0,-1,0.91,-1
ARI,WPG,-0.363,-0.396,-1.125,0.417,-0.092,-0.115,0.45,0.444,0.559,0.563,0.481,0.559,0.607,0.519,0.596,0,0.868,0.571,0.738,0.63,0.201,0.261,-0.327,0.874,0.603,0.617,0.633,0.607,0.415,0.554,0.482,1,ARIWPG20231118,1.5,-185,-1.5,150,6.5,WPG,1.5,-1.9200000000000008,WPG,6.330000000000001,-1.5,Under,1.5,0.91,140,-160,0.62,2,5,WPG,7,3,1,-1.5,Over,0,1,0.62,-1,1.5
NYI,CGY,-0.848,-0.918,1.045,0.38,0.008,-0.248,0.682,-0.559,0.448,0.336,0.379,0.3,0.382,0.473,0.517,0,-0.102,0.192,-0.272,0.502,-0.345,0.008,-0.291,-0.342,0.33,0.38,0.406,0.573,0.421,0.316,0.247,0,NYICGY20231118,1.5,-190,-1.5,155,6,CGY,1.5,-0.6700000000000004,CGY,5.776,1.5,Under,0.53,0.91,145,-165,0.61,5,4,NYI,9,1,0,1.5,Over,0,1,-1,-1,0.53
CBJ,WSH,-0.464,-0.953,0.161,0.39,-0.325,-0.084,0.089,-0.178,0.395,0.327,0.363,0.36,0.486,0.432,0.417,0,-1.318,0.675,1.091,0.47,-0.324,-0.39,0.433,-0.288,0.385,0.459,0.411,0.799,0.178,0.323,0.328,0,CBJWSH20231118,1.5,-175,-1.5,145,6.5,WSH,1.5,-0.8799999999999994,WSH,4.496,1.5,Under,0.57,0.91,135,-155,0.65,3,4,WSH,7,1,1,1.5,Over,0,1,0.65,-1,0.57
COL,DAL,1.259,0.793,-0.626,0.652,0.465,0.695,-0.333,-0.03,0.574,0.61,0.667,0.571,0.838,0.736,0.582,0,0.295,0.473,-0.931,0.543,0.001,0.064,0.926,0.363,0.651,0.684,0.618,0.734,0.678,0.6,0.606,0,COLDAL20231118,1.5,-210,-1.5,170,6,DAL,1.5,0.08999999999999986,COL,6.288,1.5,Over,0.48,0.91,160,-180,1.6,6,3,COL,9,3,1,1.5,Over,1,1,1.6,0.91,0.48
SEA,VAN,-0.879,-0.416,0.215,0.401,-0.136,-0.258,-0.241,-0.296,0.336,0.339,0.341,0.375,0.342,0.349,0.388,0,1.065,0.829,-0.679,0.638,1.143,1.038,0.971,0.425,0.957,0.784,0.816,0.492,0.726,0.804,0.804,0,SEAVAN20231118,1.5,-165,-1.5,140,6.5,VAN,1.5,-5.15,VAN,5.773000000000001,-1.5,Under,1.4,0.91,130,-150,0.67,4,3,SEA,7,1,0,1.5,Over,0,0,-1,-1,-1
