Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
Shayne Stevenson,20,BOS,RW,14,0,0,0,0,8,NA,NA,-1.464,-0.66,1991,-4
Shea Theodore,21,ANA,D,536,21.31,75,264,339,1333,NA,NA,1.076,19.88,2017,73
Shea Weber,31,MTL,D,1038,22.11,224,365,589,2765,NA,NA,1.293,46.26,2017,79
Shean Donovan,23,SJS,RW,774,0,100,114,214,1070,NA,NA,-0.463,-11.57,1998,-81
Sheldon Brookbank,28,ANA,D,348,14.13,7,36,43,279,NA,NA,-0.535,-6.41,2009,17
Sheldon Kannegiesser,23,PIT,D,360,0,14,66,80,346,NA,NA,-0.105,-1.3000000000000003,1971,23
Sheldon Keefe,20,TBL,RW,125,0,12,12,24,135,NA,NA,-0.735,-2.96,2001,-25
Sheldon Kennedy,20,DET,RW,303,0,48,58,106,389,NA,NA,-0.442,-4.32,1990,-14
Sheldon Souray,32,EDM,D,758,7.54,109,191,300,1770,NA,NA,0.448,11.719999999999999,2009,-22
Shjon Podein,29,PHI,RW,699,0,100,106,206,967,NA,NA,-0.435,-9.81,1998,62
Sick Tärnström,24,LAK,C,115,0,11,32,43,126,NA,NA,-0.38,-1.48,2002,-10
Sidney Crosby,29,PIT,C,1314,18.18,603,1037,1640,4194,NA,NA,2.478,105.07,2017,205
Simon Benoit,23,ANA,D,235,17.15,5,19,24,208,NA,NA,-0.979,-7.92,2022,-22
Simon Despres,20,PIT,D,192,16.76,6,37,43,231,NA,NA,0.243,1.6,2012,31
Simon Edvinsson,19,DET,D,61,19.5,7,12,19,62,NA,NA,0.236,0.5,2023,-3
Simon Gagné,28,PHI,LW,719,7.3,268,281,549,2126,NA,NA,1.109,25.73,2009,118
Simon Gamache,25,NSH,RW,26,0,3,4,7,36,NA,NA,-0.714,-0.6,2006,-5
Simon Gartrand,19,PHI,C,92,0,20,28,48,171,NA,NA,0.293,0.8699999999999999,2000,5
Simon Holmström,23,NYI,RW,37,16.52,9,13,22,42,NA,NA,0.387,0.46,2025,2
Simon Nemec,19,NJD,D,69,19.38,3,17,20,82,NA,NA,-0.208,-0.5,2024,-9
Simon Nolet,27,PHI,RW,558,0,150,182,332,1349,NA,NA,0.178,3.1999999999999997,1969,-27
Skip Krake,24,BOS,C,230,0,17,38,55,266,NA,NA,-1.101,-8.17,1968,-50
Slater Koekkoek,22,TBL,D,120,15.06,4,17,21,127,NA,NA,-0.508,-2.1,2017,-4
Slava Voynov,22,LAK,D,184,21.19,18,61,79,308,NA,NA,0.533,3.38,2012,23
Sonny Milano,23,ANA,LW,234,13.53,47,66,113,299,NA,NA,-0.269,-2.02,2020,-17
Spencer Knight,20,FLA,G,68,55.4,NA,NA,NA,NA,1688,0.9,-0.013,-0.10000000000000002,2022,NA
Spencer Martin,27,VAN,G,57,54.35,NA,NA,NA,NA,1345,0.87,-1.928,-5.09,2023,NA
Spencer Stastney,24,NSH,D,20,15.98,2,2,4,11,NA,NA,1.025,0.71,2024,9
Stacy Roest,24,DET,C,242,0,28,48,76,329,NA,NA,-0.524,-4.09,1999,-8
Staffan Kronwall,23,TOR,D,34,0,0,1,1,18,NA,NA,-1.054,-1.24,2006,-3
Stan Drulia,32,TBL,RW,126,0,15,27,42,136,NA,NA,-0.416,-1.69,2000,-28
Stan Gilbertson,27,CLE,LW,428,0,85,89,174,720,NA,NA,-0.375,-5.18,1972,-170
Stan Jonathan,21,BOS,LW,410,0,91,110,201,484,NA,NA,-0.093,-1.22,1977,68
Stan Mikita,27,CHI,C,845,0,326,557,883,2623,NA,NA,1.153,31.44,1968,155
Stan Neckář,22,OTT,D,569,0,14,49,63,333,NA,NA,-0.87,-17.080000000000002,1998,-102
Stan Smyl,21,VAN,RW,896,0,262,411,673,1907,NA,NA,0.418,12.05,1979,-87
Stan Weir,20,CLE,C,642,0,139,207,346,826,NA,NA,-0.281,-5.82,1973,-83
Stanislav Chistov,19,ANA,LW,196,0,19,42,61,233,NA,NA,-0.486,-3.07,2003,-20
Stefan Elliott,21,COL,D,78,16.43,7,16,23,156,NA,NA,0.236,0.6399999999999999,2012,-4
