Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
Jarno Kultanen,28,BOS,D,100,0,2,11,13,107,NA,NA,-0.645,-2.23,2001,-4
Jarome Iginla,39,LAK,RW,1554,9.57,625,675,1300,4759,NA,NA,1.558,78.1,2017,30
Jaromír Já,26,ARI,C,59,0,6,17,23,66,NA,NA,-0.43,-0.82,1999,18
Jaromír Jágr,44,FLA,RW,1766,5,771,1191,1962,5690,NA,NA,2.04,116.23,2017,302
Jaroslav Balaštík,26,CBJ,LW,66,0,12,10,22,158,NA,NA,-0.405,-0.86,2006,-1
Jaroslav Bednář,25,LAK,RW,102,0,10,25,35,134,NA,NA,-0.448,-1.47,2002,-1
Jaroslav Halák,31,NYI,G,527,57.66,NA,NA,NA,NA,13670,0.91,0.41,10.35,2017,NA
Jaroslav Hlinka,31,COL,LW,63,13.93,8,20,28,90,NA,NA,-0.715,-1.45,2008,6
Jaroslav Modrý,28,LAK,D,587,2.6,45,140,185,877,NA,NA,0.151,3.05,2000,-7
Jaroslav Pouzar,31,EDM,LW,186,0,34,48,82,221,NA,NA,-0.451,-2.71,1983,40
Jaroslav Svejkovský,21,WSH,RW,113,0,23,19,42,169,NA,NA,-0.179,-0.65,1998,-22
Jaroslav Svoboda,22,CAR,LW,124,0,10,15,25,123,NA,NA,-0.802,-3.21,2003,-5
Jaroslav Ševčík,24,COL,LW,13,0,0,2,2,9,NA,NA,-1.221,-0.51,1990,-5
Jaroslav Špaček,34,BUF,D,1105,9.36,91,305,396,1523,NA,NA,0.737,28.08,2009,60
Jarred Tinordi,27,NSH,D,190,15.69,3,24,27,132,NA,NA,-1.427,-9.35,2020,-63
Jarret Stoll,26,LAK,C,868,12.48,144,243,387,1605,NA,NA,-0.375,-10.51,2009,5
Jarrett Deuling,21,NYI,LW,14,0,0,1,1,11,NA,NA,-1.207,-0.55,1996,-1
Jarrod Skalde,26,DAL,C,101,0,13,18,31,125,NA,NA,-0.665,-2.16,1998,-20
Jason Allison,22,BOS,C,550,0,154,330,484,989,NA,NA,1.311,23.25,1998,16
Jason Arnott,34,NSH,C,1244,4.87,417,521,938,3460,NA,NA,0.982,39.37,2009,81
Jason Bacashihua,23,STL,G,38,48.94,NA,NA,NA,NA,866,0.9,-0.21,-0.31,2006,NA
Jason Blake,35,TOR,LW,870,6.85,212,273,485,2641,NA,NA,0.159,4.46,2009,-24
Jason Bonsignore,21,TBL,C,78,0,2,13,15,54,NA,NA,-1.036,-2.6100000000000003,1998,-21
Jason Botterill,22,DAL,LW,80,0,4,9,13,67,NA,NA,-0.959,-2.48,1999,-12
Jason Bowen,20,PHI,D,56,0,1,5,6,50,NA,NA,0.24,0.46,1994,12
Jason Chimera,37,NYI,LW,1029,10.32,182,219,401,1928,NA,NA,-0.403,-13.39,2017,-16
Jason Dawe,24,NYI,RW,362,0,86,89,175,567,NA,NA,0.308,3.61,1998,9
Jason Demers,28,FLA,D,699,19.17,45,169,214,884,NA,NA,0.286,6.9,2017,31
Jason Dickinson,23,DAL,C,445,15.16,65,82,147,593,NA,NA,-0.686,-9.85,2019,-17
Jason Doig,26,WSH,D,135,0,6,15,21,107,NA,NA,-0.711,-3.31,2003,-17
Jason Garrison,32,TBL,D,546,20.15,49,110,159,905,NA,NA,0.402,7.5600000000000005,2017,38
Jason Holland,27,LAK,D,52,0,3,3,6,64,NA,NA,0.175,0.31,2004,5
Jason Jaffray,26,VAN,RW,19,12.58,2,4,6,15,NA,NA,-1.107,-0.68,2008,4
Jason King,22,VAN,RW,47,0,12,9,21,107,NA,NA,0.296,0.45,2004,0
Jason Krog,24,NYI,C,187,0,21,34,55,247,NA,NA,-0.572,-3.44,2000,1
Jason LaBarbera,29,VAN,G,170,52.07,NA,NA,NA,NA,4182,0.91,0.207,1.6500000000000001,2009,NA
Jason Lafreniere,20,COL,C,134,0,31,50,81,151,NA,NA,-0.207,-0.89,1987,-8
Jason Marshall,26,ANA,D,523,0,15,51,66,426,NA,NA,-0.618,-11.16,1998,-32
Jason Morgan,27,NSH,LW,19,0,0,4,4,20,NA,NA,-0.985,-0.6,2004,1
Jason Muzzatti,25,CAR,G,53,49.13,NA,NA,NA,NA,1226,0.9,-0.302,-0.7300000000000001,1996,NA
Jason Podollan,20,FLA,C,29,0,1,4,5,30,NA,NA,-1.131,-1.06,1997,-5
Jason Pominville,34,MIN,RW,1059,15.27,293,434,727,2770,NA,NA,0.538,18.4,2017,44
Jason Robertson,21,DAL,LW,328,18.11,143,202,345,990,NA,NA,1.703,18.01,2021,86
Jason Smith,35,OTT,D,1006,2.47,41,128,169,1087,NA,NA,-0.221,-7.670000000000001,2009,29
Jason Spezza,33,DAL,C,1060,13.5,330,580,910,2603,NA,NA,1.188,40.63,2017,5
Jason Strudwick,33,EDM,D,665,5.17,13,42,55,248,NA,NA,-1.036,-23.76,2009,-82
Jason Ward,21,MTL,RW,327,3.03,33,43,76,402,NA,NA,-0.848,-8.95,2000,-32
Jason Wiemer,21,CGY,LW,726,0,90,112,202,1026,NA,NA,-0.525,-12.3,1998,-81
Jason Williams,28,CBJ,RW,415,6.21,91,126,217,772,NA,NA,0.02,0.28000000000000025,2009,-2
Jason Woolley,28,BUF,D,707,0,67,244,311,1033,NA,NA,0.744,18.15,1998,62
Jason York,27,OTT,D,748,0,41,185,226,1151,NA,NA,0.157,4.07,1998,2
Jason Zent,25,OTT,LW,22,0,3,3,6,20,NA,NA,-0.575,-0.41,1997,5
Jason Zucker,25,MIN,LW,712,15.64,207,187,394,1633,NA,NA,0.3,6.88,2017,-3
Jasse Puljujärvi,30,CGY,C,131,16.13,26,40,66,261,NA,NA,-0.319,-1.35,2022,8
Jassen Cullimore,36,FLA,D,812,3.41,26,85,111,620,NA,NA,-0.525,-14.700000000000001,2009,-45
Jaxson Stauber,25,UTA,G,4,60.6,NA,NA,NA,NA,111,0.93,1.505,0.42,2025,NA
Jay Beagle,31,WSH,RW,502,13.07,47,78,125,518,NA,NA,-1.071,-17.35,2017,-11
Jay Bouwmeester,33,STL,D,1240,18.23,88,336,424,1994,NA,NA,0.118,5.050000000000001,2017,-17
Jay Caufield,26,NYR,D,207,0,5,8,13,51,NA,NA,-1.24,-8.27,1987,-14
Jay Harrison,27,CAR,D,352,17.27,23,50,73,414,NA,NA,-0.074,-0.9099999999999999,2010,-25
Jay Henderson,21,BOS,LW,29,0,1,3,4,30,NA,NA,-1.054,-0.98,2000,0
Jay Leach,29,NJD,D,59,14.79,1,2,3,35,NA,NA,-1.04,-2.1100000000000003,2009,3
Jay Mazur,26,VAN,C,36,0,11,7,18,59,NA,NA,-0.076,-0.09,1991,3
Jay McClement,25,STL,C,764,12.22,82,143,225,941,NA,NA,-0.9,-22.2,2009,-91
Jay McKee,31,STL,D,801,4.16,21,103,124,606,NA,NA,-0.271,-7.49,2009,54
Jay Miller,25,BOS,LW,446,0,40,44,84,232,NA,NA,-0.903,-12.99,1986,-33
Jay Pandolfo,34,NJD,LW,819,3.13,99,124,223,1068,NA,NA,-0.638,-16.86,2009,15
Jay Wells,20,LAK,D,1098,0,47,216,263,1137,NA,NA,-0.293,-11.110000000000001,1980,-50
Jaycob Megna,25,ANA,D,184,17.71,4,23,27,162,NA,NA,-0.89,-5.65,2018,-18
Jayden Struble,22,MTL,D,81,15.66,5,10,15,74,NA,NA,-0.501,-1.4,2024,-10
Jayson Megna,26,VAN,C,58,12.43,4,4,8,72,NA,NA,-1.502,-2.81,2017,-4
Jayson More,29,CHI,D,400,0,18,54,72,406,NA,NA,-0.334,-4.6,1998,-78
Jean Béliveau,36,MTL,C,261,0,108,167,275,782,NA,NA,1.469,12.36,1968,65
Jean Gauthier,30,PHI,D,65,0,5,7,12,104,NA,NA,-0.226,-0.51,1968,2
Jean Hamel,20,STL,D,699,0,26,95,121,674,NA,NA,-0.45,-10.85,1973,-80
Jean Lemieux,21,CGY,D,204,0,23,63,86,357,NA,NA,-0.037,-0.27,1974,-45
Jean Potvin,22,LAK,D,609,0,62,221,283,922,NA,NA,-0.017,-0.3400000000000003,1972,-65
Jean Pronovost,23,PIT,RW,988,0,390,381,771,2769,NA,NA,1.008,32.13,1969,57
Jean Ratelle,27,NYR,C,1022,0,433,695,1128,2478,NA,NA,1.526,50.3,1968,295
Jean Savard,20,CHI,C,31,0,7,11,18,37,NA,NA,-0.292,-0.29,1978,6
Jean-Claude Bergeron,22,MTL,G,56,53.34,NA,NA,NA,NA,1195,0.87,-1.352,-2.9,1991,NA
Jean-François Bérubé,26,CHI,G,13,51.31,NA,NA,NA,NA,356,0.89,-1.297,-0.85,2018,NA
Jean-François Fortin,22,WSH,D,69,0,1,4,5,44,NA,NA,-0.939,-2.23,2002,-4
Jean-François Jacques,21,EDM,LW,37,0,0,0,0,23,NA,NA,-1.368,-1.63,2007,-11
Jean-François Jomphe,23,ANA,RW,95,0,9,26,35,127,NA,NA,-0.582,-1.78,1996,-2
Jean-François Quintin,23,SJS,C,14,0,2,5,7,12,NA,NA,-0.505,-0.23,1993,-4
Jean-Gabriel Pageau,24,OTT,C,719,16.9,150,188,338,1283,NA,NA,-0.17,-3.9400000000000004,2017,18
Jean-Guy Gendron,34,PHI,LW,277,0,69,85,154,593,NA,NA,0.196,1.75,1969,-15
Jean-Guy Lagace,23,PIT,D,194,0,9,39,48,222,NA,NA,-0.643,-4.3,1969,-77
Jean-Guy Talbot,35,STL,D,265,0,7,33,40,218,NA,NA,-0.714,-6.53,1968,0
Jean-Luc Grand-Pierre,21,BUF,D,258,0,7,13,20,191,NA,NA,-0.905,-8.06,1999,-53
Jean-Marc Gaulin,22,COL,LW,22,0,3,3,6,24,NA,NA,-0.935,-0.66,1985,1
Jean-Marc Lanthier,21,VAN,RW,89,0,13,14,27,74,NA,NA,-0.817,-2.35,1985,-33
Jean-Sébastien ,32,ARI,D,65,21,6,15,21,55,NA,NA,0.183,0.41,2011,6
Jean-Sébastien Aubin,22,PIT,G,263,35.4,NA,NA,NA,NA,NA,NA,-0.021,-0.04000000000000009,2000,NA
Jean-Sébastien Giguère,31,ANA,G,522,56.73,NA,NA,NA,NA,13023,0.91,0.46,10.65,2009,NA
Jean-Yves Leroux,21,CHI,LW,219,0,16,21,37,200,NA,NA,-0.856,-6.04,1998,-28
Jean-Yves Roy,27,BOS,LW,52,0,10,15,25,100,NA,NA,-0.008,-0.01,1997,-8
Jed Ortmeyer,25,NYR,RW,228,2.78,13,19,32,273,NA,NA,-1.146,-8.43,2004,-9
Jeff Beukeboom,32,NYR,D,804,0,30,129,159,550,NA,NA,0.008,0.23000000000000037,1998,115
Jeff Bloemberg,22,NYR,D,28,0,3,3,6,20,NA,NA,-1.058,-1.02,1990,-8
Jeff Brown,31,WSH,D,738,0,151,428,579,2104,NA,NA,1.174,29.869999999999997,1998,-56
Jeff Brubaker,22,CAR,LW,167,0,16,7,23,89,NA,NA,-1.154,-6.21,1981,-25
Jeff Carter,32,LAK,C,1321,15.81,442,409,851,3967,NA,NA,0.721,30.72,2017,9
Jeff Chychrun,22,PHI,D,256,0,3,22,25,159,NA,NA,-0.974,-8.6,1989,-14
Jeff Cowan,23,CGY,LW,367,0,47,33,80,406,NA,NA,-0.588,-6.95,2000,-39
Jeff Daniels,31,CAR,LW,388,0,16,19,35,233,NA,NA,-1.179,-14.74,2000,-32
Jeff Deslauriers,25,EDM,G,48,58.29,NA,NA,NA,NA,1377,0.9,-0.858,-2.15,2010,NA
Jeff Finger,29,TOR,D,199,16.71,17,40,57,206,NA,NA,0.226,1.5599999999999998,2009,4
Jeff Finley,30,NYR,D,672,0,13,64,77,341,NA,NA,-0.398,-9.24,1998,42
Jeff Friesen,21,SJS,LW,893,0,218,298,516,1797,NA,NA,0.542,15.62,1998,-8
Jeff Giuliano,26,LAK,LW,48,0,3,4,7,32,NA,NA,-1.003,-1.55,2006,0
Jeff Glass,32,CHI,G,15,54.73,NA,NA,NA,NA,406,0.9,-0.993,-0.74,2018,NA
Jeff Greenlaw,18,WSH,LW,38,0,1,4,5,26,NA,NA,-1.217,-1.5,1987,-1
Jeff Hackett,29,CHI,G,493,56.39,NA,NA,NA,NA,12375,0.9,0.256,5.39,1998,NA
Jeff Halpern,32,TBL,C,861,5.92,146,212,358,1177,NA,NA,-0.197,-5.47,2009,-27
Jeff Hamilton,31,TOR,RW,98,1.98,23,30,53,197,NA,NA,0.16,0.5099999999999999,2009,-2
Jeff Heerema,24,STL,RW,22,0,1,2,3,28,NA,NA,-1.038,-0.74,2004,-5
Jeff Hoggan,27,STL,LW,98,0,2,8,10,113,NA,NA,-1.169,-3.7,2006,-24
Jeff Jackson,19,TOR,LW,247,0,34,45,79,281,NA,NA,-0.611,-4.88,1985,-47
Jeff Jillson,21,SJS,D,138,0,9,32,41,184,NA,NA,0.032,0.14999999999999994,2002,-9
Jeff Larmer,20,NJD,LW,141,0,36,50,86,244,NA,NA,0.01,0.040000000000000036,1983,-20
Jeff Lazaro,22,BOS,LW,102,0,14,23,37,157,NA,NA,-0.562,-1.8499999999999999,1991,3
Jeff Madill,25,NJD,RW,14,0,4,0,4,24,NA,NA,-0.401,-0.18,1991,-1
Jeff Nelson,23,WSH,C,33,0,0,7,7,21,NA,NA,-1.013,-1.08,1996,3
Jeff Nielsen,26,ANA,RW,250,0,20,27,47,325,NA,NA,-0.809,-6.53,1998,-25
Jeff Norton,32,FLA,D,799,0,52,332,384,1015,NA,NA,0.259,7.13,1998,-29
Jeff O'Neill,21,CAR,C,821,0,237,259,496,1961,NA,NA,0.715,18.93,1998,-115
Jeff Odgers,28,COL,RW,821,0,75,70,145,716,NA,NA,-0.809,-21.41,1998,-116
Jeff Parker,22,BUF,C,133,0,16,17,33,149,NA,NA,-0.833,-3.58,1987,-6
Jeff Petry,29,MTL,D,971,21.88,96,287,383,1690,NA,NA,0.029,0.9700000000000002,2017,-133
Jeff Reese,22,TOR,G,164,49.84,NA,NA,NA,NA,3645,0.88,-0.413,-2.81,1989,NA
Jeff Schultz,22,WSH,D,408,16.64,11,65,76,216,NA,NA,0.049,0.6899999999999998,2009,79
Jeff Serowik,32,PIT,D,26,0,0,6,6,26,NA,NA,-0.583,-0.52,1999,-4
Jeff Shantz,24,CHI,C,642,0,72,139,211,728,NA,NA,-0.513,-10.62,1998,-1
Jeff Sharples,20,DET,D,102,0,14,34,48,142,NA,NA,0.62,2.18,1988,18
Jeff Shevalier,22,LAK,LW,26,0,4,9,13,42,NA,NA,-0.134,-0.11,1997,-6
Jeff Skinner,24,CAR,LW,1045,16.83,364,321,685,3271,NA,NA,0.707,23.85,2017,-139
Jeff Taffe,21,ARI,C,96,0,15,13,28,119,NA,NA,-0.412,-1.28,2003,-19
Jeff Tambellini,24,NYI,LW,113,7.55,10,18,28,135,NA,NA,-1.122,-4.08,2009,-13
Jeff Toms,23,WSH,C,227,0,20,31,51,303,NA,NA,-0.799,-5.85,1998,-35
Jeff Ulmer,23,NYR,RW,21,0,3,0,3,22,NA,NA,-0.773,-0.52,2001,-6
Jeff Ware,19,TOR,D,13,0,0,0,0,4,NA,NA,-0.597,-0.27,1997,2
Jeff Woywitka,25,STL,D,251,13.04,8,41,49,263,NA,NA,-0.166,-1.44,2009,1
Jeff Zatkoff,26,PIT,G,34,55.97,NA,NA,NA,NA,905,0.91,0.124,0.19999999999999998,2014,NA
Jere Gillis,21,VAN,LW,382,0,78,95,173,670,NA,NA,-0.376,-4.63,1978,-55
Jere Innala,26,COL,F,7,7.27,0,0,0,1,NA,NA,0,0,2025,0
Jere Karalahti,24,LAK,D,149,0,8,19,27,122,NA,NA,-0.117,-0.5899999999999999,2000,5
Jere Lehtinen,35,DAL,RW,875,3.06,243,271,514,2102,NA,NA,0.508,14.34,2009,176
Jeremy Colliton,21,NYI,C,19,0,1,1,2,9,NA,NA,-1.248,-0.76,2006,2
Jeremy Davies,24,NSH,D,16,15.03,0,1,1,19,NA,NA,-0.62,-0.34,2021,3
Jeremy Lauzon,21,BOS,D,316,17.65,14,31,45,359,NA,NA,-0.783,-8.51,2019,-12
Jeremy Morin,19,CHI,LW,9,12.1,2,1,3,13,NA,NA,-0.807,-0.23,2011,2
Jeremy Reich,27,BOS,C,32,0,0,1,1,27,NA,NA,-1.448,-1.49,2007,-10
Jeremy Roenick,28,ARI,LW,1321,0.72,509,694,1203,3231,NA,NA,1.351,57.56,1998,154
Jeremy Stevenson,23,ANA,LW,184,0,18,18,36,187,NA,NA,-0.751,-4.45,1998,-4
Jeremy Swayman,22,BOS,G,162,57.66,NA,NA,NA,NA,4042,0.92,0.864,6.13,2021,NA
Jeremy Williams,25,TOR,RW,11,13.43,5,2,7,21,NA,NA,0.365,0.13,2009,2
Jerred Smithson,29,NSH,RW,466,9.22,35,48,83,368,NA,NA,-1.23,-18.47,2009,-29
Jerry Butler,22,NYR,RW,633,0,98,120,218,935,NA,NA,-0.704,-14.37,1974,-65
Jerry Byers,20,DAL,LW,26,0,1,3,4,27,NA,NA,-1.403,-1.1800000000000002,1973,-6
Jerry Dupont,19,CHI,D,213,0,7,29,36,179,NA,NA,-0.838,-6.16,1982,-27
Jerry Engele,25,DAL,D,100,0,2,13,15,96,NA,NA,-0.517,-1.7899999999999998,1976,-20
Jerry Holland,21,NYR,LW,36,0,7,4,11,50,NA,NA,-0.783,-0.91,1976,-5
Jerry Korab,22,CHI,D,975,0,114,341,455,1934,NA,NA,0.326,10.94,1971,62
Jesper Boqvist,23,NJD,C,94,13.09,17,21,38,112,NA,NA,-0.382,-1.16,2022,-12
Jesper Bratt,19,NJD,W,514,16.75,143,264,407,1145,NA,NA,0.587,9.75,2018,-9
Jesper Fast,25,NYR,RW,634,14.79,85,149,234,665,NA,NA,-0.678,-13.86,2017,47
Jesper Wallstedt,22,MIN,G,2,58.72,NA,NA,NA,NA,43,0.84,0,0,2025,NA
Jesperi Kotkaniemi,18,MTL,C,439,13.61,70,109,179,679,NA,NA,-0.537,-7.59,2019,2
Jesse Boulerice,24,CAR,RW,162,0,8,2,10,63,NA,NA,-1.078,-5.62,2003,-14
Jesse Bélanger,30,MTL,C,164,0,39,55,94,245,NA,NA,0.133,0.7,2000,-11
Jesse Fibiger,24,SJS,D,16,0,0,0,0,2,NA,NA,-1.915,-1.06,2003,-5
Jesse Puljujärvi,24,STL,RW,293,13.04,41,45,86,535,NA,NA,-0.902,-8.530000000000001,2018,-4
Jesse Wallin,23,DET,D,47,0,0,2,2,31,NA,NA,-1.277,-2.07,2002,-3
Jesse Winchester,30,FLA,C,52,12.73,9,9,18,100,NA,NA,-0.71,-1.19,2014,-2
Jesse Ylönen,23,MTL,RW,37,13.45,6,10,16,43,NA,NA,-0.626,-0.75,2023,-11
Jet Greaves,22,CBJ,G,13,58.28,NA,NA,NA,NA,410,0.9,0.166,0.1,2024,NA
Jett Luchanko,18,PHI,F,4,14.05,0,0,0,3,NA,NA,0,0,2025,-3
Jhonas Enroth,22,BUF,G,146,55.17,NA,NA,NA,NA,3826,0.91,-0.106,-0.8799999999999999,2011,NA
Jichael Thelvén,23,DAL,D,209,0,18,44,62,249,NA,NA,0.247,1.78,1988,18
Jim Agnew,24,VAN,D,60,0,0,0,0,24,NA,NA,-1.418,-2.93,1991,-9
Jim Bedard,21,WSH,G,73,57.85,NA,NA,NA,NA,1894,0.87,-0.658,-2.37,1978,NA
Jim Benning,18,TOR,D,605,0,52,191,243,799,NA,NA,0.156,3.2500000000000004,1982,-77
Jim Campbell,24,STL,RW,272,0,60,74,134,521,NA,NA,0.264,2.3,1998,-8
Jim Carey,20,WSH,G,158,56.78,NA,NA,NA,NA,3386,0.9,-0.07,-0.7,1995,NA
Jim Corsi,25,EDM,G,26,52.31,NA,NA,NA,NA,576,0.87,-0.565,-0.61,1980,NA
Jim Craig,23,BOS,G,23,55.22,NA,NA,NA,NA,484,0.86,-0.644,-0.6,1981,NA
Jim Cummins,27,ARI,RW,503,0,23,35,58,313,NA,NA,-1.037,-16.830000000000002,1998,-44
Jim Dorey,21,TOR,D,232,0,25,74,99,530,NA,NA,0.652,5.22,1969,33
Jim Dowd,29,CGY,C,639,0,65,159,224,709,NA,NA,-0.541,-11.15,1998,-6
Jim Fahey,23,SJS,D,92,0,1,24,25,114,NA,NA,-0.635,-2.01,2003,-16
Jim Fox,20,LAK,RW,567,0,185,292,477,1075,NA,NA,0.683,12.5,1981,-62
Jim Hamilton,21,PIT,RW,45,0,3,10,13,61,NA,NA,-1.094,-1.5899999999999999,1978,-1
Jim Hargreaves,22,VAN,D,59,0,1,6,7,40,NA,NA,-0.853,-1.74,1973,-31
Jim Harrison,21,BOS,C,321,0,67,86,153,580,NA,NA,-0.353,-3.65,1969,-30
Jim Hiller,23,DET,RW,61,0,8,12,20,83,NA,NA,-0.604,-1.19,1993,7
Jim Hofford,22,BUF,D,12,0,0,0,0,8,NA,NA,-1.415,-0.59,1987,-1
Jim Hrivnak,21,WSH,G,64,49.69,NA,NA,NA,NA,1426,0.88,-0.614,-1.62,1990,NA
Jim Hrycuik,25,WSH,C,21,0,5,5,10,29,NA,NA,-0.625,-0.42,1975,-12
Jim Jackson,22,CGY,LW,97,0,14,26,40,151,NA,NA,-0.681,-2.1399999999999997,1983,9
Jim Johnson,25,PHI,C,1123,0,103,277,380,1427,NA,NA,-0.097,-3.84,1968,-25
Jim Korn,22,DET,D,597,0,66,122,188,604,NA,NA,-0.466,-9.34,1980,-131
Jim Krulicki,22,DET,LW,41,0,0,3,3,21,NA,NA,-1.519,-2.01,1971,-8
Jim Kyte,19,WPG,D,592,0,17,48,65,355,NA,NA,-0.859,-17.51,1984,-90
Jim Leavins,25,DET,D,37,0,2,11,13,63,NA,NA,-0.992,-1.27,1986,-23
Jim Lorentz,22,BOS,C,648,0,160,235,395,1186,NA,NA,0.162,3.3899999999999997,1970,6
Jim Mair,26,VAN,D,64,0,3,11,14,158,NA,NA,-0.709,-1.56,1973,-40
Jim McElmury,25,NJD,D,171,0,14,46,60,260,NA,NA,0.007,0.04000000000000001,1975,-78
Jim McGeough,21,WSH,C,42,0,6,6,12,85,NA,NA,-1.033,-1.4,1985,-6
Jim McKenny,23,TOR,D,574,0,79,246,325,1100,NA,NA,0.701,13.86,1970,1
Jim McKenzie,28,ARI,LW,875,0,48,52,100,444,NA,NA,-1.019,-28.77,1998,-86
Jim McLeod,34,STL,G,16,54.88,NA,NA,NA,NA,355,0.89,-0.364,-0.24,1972,NA
Jim McTaggart,20,WSH,D,71,0,3,10,13,64,NA,NA,-0.624,-1.52,1981,-7
Jim Montgomery,31,SJS,C,108,0,8,21,29,97,NA,NA,-0.86,-2.99,2001,-6
Jim Morrison,38,PIT,D,132,0,5,25,30,269,NA,NA,-0.455,-2.07,1970,-30
Jim Moxey,21,CLE,RW,127,0,22,27,49,245,NA,NA,-0.687,-2.8200000000000003,1975,-29
Jim Murray,24,LAK,D,30,0,0,2,2,25,NA,NA,-1.299,-1.34,1968,-4
Jim Nahrgang,25,DET,D,53,0,5,11,16,96,NA,NA,-0.044,-0.08,1977,-12
Jim Neilson,27,NYR,D,697,0,51,221,272,1485,NA,NA,0.463,11.13,1968,63
Jim Niekamp,24,DET,D,24,0,0,2,2,21,NA,NA,-1.372,-1.14,1971,-14
Jim Nill,23,VAN,RW,524,0,58,87,145,376,NA,NA,-0.853,-14.42,1982,-65
Jim Paek,24,PIT,D,214,0,5,29,34,141,NA,NA,-0.555,-4.09,1992,0
Jim Pappin,28,TOR,RW,602,0,237,264,501,1340,NA,NA,1.262,24.5,1968,76
Jim Pavese,19,STL,D,324,0,13,43,56,214,NA,NA,-0.982,-10.98,1982,-60
Jim Peplinski,20,CGY,C,699,0,160,262,422,1252,NA,NA,-0.077,-1.75,1981,55
Jim Pettie,25,BOS,G,19,54.58,NA,NA,NA,NA,370,0.86,-1.561,-1.11,1979,NA
Jim Playfair,23,CHI,D,12,0,1,3,4,11,NA,NA,1.141,0.47,1988,4
Jim Roberts,27,STL,RW,755,0,115,182,297,1192,NA,NA,-0.001,0.3800000000000002,1968,136
Jim Rutherford,21,DET,G,449,56.59,NA,NA,NA,NA,11316,0.88,-0.513,-10.54,1971,NA
Jim Sandlak,19,VAN,RW,549,0,110,119,229,946,NA,NA,-0.284,-5.02,1986,-28
Jim Schoenfeld,20,BUF,D,719,0,51,204,255,1251,NA,NA,0.495,12.290000000000001,1973,236
Jim Shires,25,DET,LW,56,0,3,6,9,58,NA,NA,-1.226,-2.22,1971,-25
Jim Slater,27,WPG,C,284,6.68,39,39,78,423,NA,NA,-0.721,-6.6,2010,1
Jim Storm,22,CAR,LW,68,0,6,10,16,84,NA,NA,-0.801,-1.76,1994,4
Jim Thomson,23,CAR,RW,88,0,3,3,6,59,NA,NA,-1.238,-3.52,1989,-19
Jim Vandermeer,28,CGY,D,436,10.13,24,77,101,450,NA,NA,-0.173,-2.59,2009,-12
Jim Warner,25,CAR,RW,32,0,0,3,3,26,NA,NA,-1.4,-1.45,1980,-6
Jim Watson,24,DET,D,205,0,4,18,22,248,NA,NA,-1.034,-7.3,1968,-80
Jim Wiemer,23,BUF,D,305,0,24,69,93,461,NA,NA,0.001,-5.551115123125783e-17,1984,19
Jim Wiley,23,PIT,C,56,0,4,9,13,49,NA,NA,-1.366,-2.4699999999999998,1974,-17
Jim Wiste,23,CHI,LW,49,0,1,10,11,20,NA,NA,-1.219,-1.9300000000000002,1970,-7
Jimmie Ölvestad,21,TBL,RW,111,0,3,14,17,129,NA,NA,-1.018,-3.6500000000000004,2002,1
Jimmy Carson,18,LAK,C,615,0,274,286,560,1558,NA,NA,0.996,19.78,1987,-21
Jimmy Hayes,23,CHI,RW,157,14.47,33,35,68,306,NA,NA,-0.15,-0.76,2013,-16
Jimmy Howard,32,DET,G,534,56.74,NA,NA,NA,NA,13764,0.91,0.144,3.26,2017,NA
Jimmy Jones,25,TOR,C,147,0,13,18,31,122,NA,NA,-1.215,-5.76,1978,4
Jimmy Mann,20,WPG,RW,284,0,10,20,30,168,NA,NA,-1.411,-12.93,1980,-55
Jimmy Peters,23,DET,C,297,0,36,35,71,322,NA,NA,-1.018,-9.76,1968,-38
Jimmy Vesey,23,NYR,LW,608,13.76,99,91,190,930,NA,NA,-0.718,-14.08,2017,-56
Jimmy Waite,28,ARI,G,85,50.13,NA,NA,NA,NA,1567,0.88,-1.163,-3.47,1998,NA
Jimmy Watson,21,PHI,D,609,0,38,147,185,790,NA,NA,0.382,8.03,1974,296
Jiri Kulich,20,BUF,C,31,13.88,7,2,9,64,NA,NA,-0.405,-0.4,2025,-1
Jiřrik Sjöstr,32,CBJ,RW,150,0,22,61,83,237,NA,NA,-0.05,-0.2400000000000002,2007,2
Jiří <c5>chý,28,CGY,D,134,0,10,33,43,188,NA,NA,0.676,3.13,1993,51
Jiří Bicek,24,NJD,RW,56,0,5,7,12,73,NA,NA,-0.723,-1.2999999999999998,2003,7
Jiří Bubla,32,VAN,D,213,0,11,77,88,272,NA,NA,0.173,1.27,1982,-30
Jiří Crha,29,TOR,G,120,32.79,NA,NA,NA,NA,NA,NA,0.043,1.04,1980,NA
Jiří Dopita,33,PHI,C,73,0,12,21,33,102,NA,NA,-0.16,-0.38,2002,5
Jiří Fischer,19,DET,D,283,0,8,44,52,342,NA,NA,-0.135,-1.31,2000,21
Jiří Hrdina,31,CGY,C,318,0,76,131,207,525,NA,NA,0.061,0.6300000000000002,1989,61
Jiří Hudler,27,DET,C,599,11.48,154,255,409,1035,NA,NA,0.736,14.22,2011,54
Jiří Látal,22,PHI,D,82,0,11,34,45,140,NA,NA,0.122,0.3500000000000001,1990,-15
Jiří Novotný,25,CBJ,C,56,10.01,6,4,10,71,NA,NA,-1.283,-2.32,2009,-1
